country,year,month,arrivals
Ba Lan,2024,1,6710
Ba Lan,2024,2,7120
Ba Lan,2024,3,6449
Ba Lan,2024,4,3017
Ba Lan,2024,5,2237
Ba Lan,2024,6,1010
Ba Lan,2024,7,1388
Ba Lan,2024,8,1742
Ba Lan,2024,9,1807
Ba Lan,2024,10,2852
Ba Lan,2024,11,9629
Ba Lan,2024,12,7196
Ba Lan,2025,1,8678
Ba Lan,2025,2,12653
Ba Lan,2025,3,9674
Ba Lan,2025,4,3656
Ba Lan,2025,5,2246
Ba Lan,2025,6,1406
Ba Lan,2025,7,2128
Ba Lan,2025,8,2478
Ba Lan,2025,9,3044
Ba Lan,2025,10,3582
Ba Lan,2025,11,12737
Ba Lan,2025,12,10646
Ba Lan,2026,1,17240
Ba Lan,2026,2,18463
Ba Lan,2026,3,11529
Ba Lan,2026,4,5680
Ba Lan,2026,5,3065
Bỉ,2008,7,2091
Bỉ,2008,9,918
Bỉ,2008,10,1331
Bỉ,2012,12,1706
Bỉ,2013,1,1723
Bỉ,2013,2,1439
Bỉ,2013,3,1913
Bỉ,2013,4,2279
Bỉ,2013,5,1247
Bỉ,2013,6,1029
Bỉ,2013,7,2913
Bỉ,2013,8,2136
Bỉ,2013,9,1326
Bỉ,2013,10,1304
Bỉ,2013,11,2429
Bỉ,2013,12,1834
Bỉ,2014,1,1990
Bỉ,2014,2,2001
Bỉ,2014,3,2026
Bỉ,2014,4,2605
Bỉ,2014,5,1470
Bỉ,2014,6,1026
Bỉ,2014,7,3097
Bỉ,2014,8,2260
Bỉ,2014,9,1343
Bỉ,2014,10,1369
Bỉ,2014,11,2260
Bỉ,2014,12,1828
Bỉ,2015,1,1827
Bỉ,2015,2,1761
Bỉ,2015,3,1867
Bỉ,2015,4,2523
Bỉ,2015,5,1322
Bỉ,2015,6,1010
Bỉ,2015,7,3306
Bỉ,2015,8,2286
Bỉ,2015,9,1521
Bỉ,2015,10,1656
Bỉ,2015,11,2535
Bỉ,2015,12,2075
Bỉ,2016,1,1957
Bỉ,2016,2,2103
Bỉ,2016,3,2357
Bỉ,2016,4,2402
Bỉ,2016,5,1517
Bỉ,2016,6,1017
Bỉ,2016,7,3658
Bỉ,2016,8,2481
Bỉ,2016,9,1923
Bỉ,2016,10,1646
Bỉ,2016,11,3092
Bỉ,2016,12,2078
Bỉ,2017,1,2498
Bỉ,2017,2,2230
Bỉ,2017,3,2385
Bỉ,2017,4,2940
Bỉ,2017,5,1557
Bỉ,2017,6,1309
Bỉ,2017,7,3855
Bỉ,2017,8,2795
Bỉ,2017,9,2175
Bỉ,2017,10,1915
Bỉ,2017,11,3124
Bỉ,2017,12,2361
Bỉ,2018,1,2580
Bỉ,2018,2,2554
Bỉ,2018,3,2438
Bỉ,2018,4,3535
Bỉ,2018,5,1762
Bỉ,2018,6,1345
Bỉ,2018,7,4310
Bỉ,2018,8,3067
Bỉ,2018,9,2354
Bỉ,2018,10,2082
Bỉ,2018,11,3073
Bỉ,2018,12,2282
Bỉ,2019,1,2564
Bỉ,2019,2,2537
Bỉ,2019,3,2549
Bỉ,2019,4,3530
Bỉ,2019,5,1778
Bỉ,2019,6,1509
Bỉ,2019,7,4833
Bỉ,2019,8,3676
Bỉ,2019,9,2766
Bỉ,2019,10,2105
Bỉ,2019,11,3651
Bỉ,2019,12,2689
Bỉ,2020,1,2782
Bỉ,2020,2,2699
Bỉ,2020,3,1971
Bỉ,2022,1,50
Bỉ,2022,2,77
Bỉ,2022,3,89
Bỉ,2022,4,379
Bỉ,2022,5,543
Bỉ,2022,6,641
Bỉ,2022,7,1528
Bỉ,2022,8,1651
Bỉ,2022,9,1524
Bỉ,2022,10,1198
Bỉ,2022,11,2112
Bỉ,2022,12,1619
Bỉ,2023,1,1742
Bỉ,2023,2,1838
Bỉ,2023,3,2337
Bỉ,2023,4,2563
Bỉ,2023,5,1690
Bỉ,2023,6,1138
Bỉ,2023,7,2891
Bỉ,2023,8,2871
Bỉ,2023,9,2096
Bỉ,2023,10,1799
Bỉ,2023,11,3081
Bỉ,2023,12,2307
Bỉ,2024,1,2495
Bỉ,2024,2,2396
Bỉ,2024,3,3384
Bỉ,2024,4,3305
Bỉ,2024,5,1904
Bỉ,2024,6,1194
Bỉ,2024,7,3271
Bỉ,2024,8,2492
Bỉ,2024,9,2149
Bỉ,2024,10,2726
Bỉ,2024,11,3762
Bỉ,2024,12,2652
Bỉ,2025,1,2531
Bỉ,2025,2,3164
Bỉ,2025,3,3874
Bỉ,2025,4,3570
Bỉ,2025,5,1868
Bỉ,2025,6,1290
Bỉ,2025,7,4878
Bỉ,2025,8,2899
Bỉ,2025,9,2556
Bỉ,2025,10,3083
Bỉ,2025,11,4726
Bỉ,2025,12,3127
Bỉ,2026,1,3237
Bỉ,2026,2,4208
Bỉ,2026,3,3915
Bỉ,2026,4,4083
Bỉ,2026,5,2892
Campuchia,2008,7,11777
Campuchia,2008,9,12033
Campuchia,2008,10,6875
Campuchia,2010,2,17342
Campuchia,2010,3,25773
Campuchia,2010,4,21990
Campuchia,2010,5,15919
Campuchia,2010,6,20571
Campuchia,2010,7,25867
Campuchia,2010,8,22392
Campuchia,2010,9,24789
Campuchia,2010,10,27474
Campuchia,2010,11,16325
Campuchia,2010,12,20839
Campuchia,2011,1,21577
Campuchia,2011,2,24992
Campuchia,2011,3,30017
Campuchia,2011,4,23362
Campuchia,2011,5,43856
Campuchia,2011,6,38628
Campuchia,2011,7,41242
Campuchia,2011,8,40013
Campuchia,2011,9,23566
Campuchia,2011,10,38795
Campuchia,2011,11,40571
Campuchia,2011,12,41781
Campuchia,2012,1,42085
Campuchia,2012,2,31655
Campuchia,2012,3,28887
Campuchia,2012,4,29988
Campuchia,2012,5,22184
Campuchia,2012,6,21607
Campuchia,2012,7,23033
Campuchia,2012,8,24613
Campuchia,2012,9,24916
Campuchia,2012,10,24187
Campuchia,2012,11,32940
Campuchia,2012,12,32589
Campuchia,2013,1,29605
Campuchia,2013,2,19086
Campuchia,2013,3,25399
Campuchia,2013,4,26854
Campuchia,2013,5,25829
Campuchia,2013,6,29096
Campuchia,2013,7,30633
Campuchia,2013,8,28593
Campuchia,2013,9,32630
Campuchia,2013,11,35373
Campuchia,2013,12,32191
Campuchia,2014,1,31299
Campuchia,2014,2,35357
Campuchia,2014,3,32484
Campuchia,2014,4,34345
Campuchia,2014,5,37422
Campuchia,2014,6,31863
Campuchia,2014,7,26537
Campuchia,2014,8,29066
Campuchia,2014,9,32839
Campuchia,2014,10,36634
Campuchia,2014,11,32131
Campuchia,2014,12,37422
Campuchia,2015,1,29977
Campuchia,2015,2,27953
Campuchia,2015,3,19756
Campuchia,2015,4,11730
Campuchia,2015,5,10627
Campuchia,2015,6,11739
Campuchia,2015,7,10281
Campuchia,2015,8,8714
Campuchia,2015,9,30810
Campuchia,2015,10,19429
Campuchia,2015,11,18929
Campuchia,2015,12,20504
Campuchia,2016,1,13355
Campuchia,2016,2,9868
Campuchia,2016,3,18415
Campuchia,2016,4,12594
Campuchia,2016,5,18625
Campuchia,2016,6,12113
Campuchia,2016,7,21097
Campuchia,2016,8,13951
Campuchia,2016,9,26318
Campuchia,2016,10,26358
Campuchia,2016,11,21662
Campuchia,2016,12,17593
Campuchia,2017,1,18012
Campuchia,2017,2,22861
Campuchia,2017,3,15314
Campuchia,2017,4,19002
Campuchia,2017,5,19905
Campuchia,2017,6,19999
Campuchia,2017,7,15979
Campuchia,2017,8,22408
Campuchia,2017,9,16414
Campuchia,2017,10,16348
Campuchia,2017,11,22086
Campuchia,2017,12,14286
Campuchia,2018,1,24606
Campuchia,2018,2,21101
Campuchia,2018,3,22022
Campuchia,2018,4,17976
Campuchia,2018,5,19013
Campuchia,2018,6,14672
Campuchia,2018,7,12303
Campuchia,2018,8,7594
Campuchia,2018,9,16839
Campuchia,2018,10,14963
Campuchia,2018,11,13310
Campuchia,2018,12,18555
Campuchia,2019,1,9521
Campuchia,2019,2,13696
Campuchia,2019,3,10774
Campuchia,2019,4,12844
Campuchia,2019,5,8345
Campuchia,2019,6,3335
Campuchia,2019,7,5289
Campuchia,2019,8,7075
Campuchia,2019,9,37633
Campuchia,2019,10,41656
Campuchia,2019,11,50270
Campuchia,2019,12,27472
Campuchia,2020,1,40930
Campuchia,2020,2,44280
Campuchia,2020,3,35220
Campuchia,2022,1,143
Campuchia,2022,2,728
Campuchia,2022,3,1090
Campuchia,2022,4,8316
Campuchia,2022,5,13674
Campuchia,2022,6,11919
Campuchia,2022,7,24576
Campuchia,2022,8,21575
Campuchia,2022,9,22940
Campuchia,2022,10,29918
Campuchia,2022,11,37596
Campuchia,2022,12,28432
Campuchia,2023,1,34046
Campuchia,2023,2,35771
Campuchia,2023,3,25699
Campuchia,2023,4,39985
Campuchia,2023,5,31828
Campuchia,2023,6,30487
Campuchia,2023,7,27512
Campuchia,2023,8,30915
Campuchia,2023,9,33579
Campuchia,2023,10,36463
Campuchia,2023,11,33063
Campuchia,2023,12,42714
Campuchia,2024,1,37279
Campuchia,2024,2,41832
Campuchia,2024,3,34635
Campuchia,2024,4,41906
Campuchia,2024,5,41239
Campuchia,2024,6,34600
Campuchia,2024,7,28532
Campuchia,2024,8,34934
Campuchia,2024,9,30770
Campuchia,2024,10,40030
Campuchia,2024,11,47815
Campuchia,2024,12,61008
Campuchia,2025,1,100150
Campuchia,2025,2,41916
Campuchia,2025,3,91845
Campuchia,2025,4,45626
Campuchia,2025,5,44981
Campuchia,2025,6,35753
Campuchia,2025,7,41151
Campuchia,2025,8,43211
Campuchia,2025,9,45237
Campuchia,2025,10,59784
Campuchia,2025,11,64601
Campuchia,2025,12,72877
Campuchia,2026,1,223025
Campuchia,2026,2,54205
Campuchia,2026,3,52872
Campuchia,2026,4,65731
Campuchia,2026,5,59291
Canada,2008,7,8857
Canada,2008,9,4965
Canada,2008,10,5363
Canada,2009,2,10013
Canada,2009,3,7051
Canada,2009,4,6668
Canada,2009,5,5440
Canada,2009,6,5359
Canada,2009,7,7384
Canada,2009,8,6186
Canada,2009,9,4238
Canada,2009,10,3472
Canada,2009,11,7809
Canada,2010,1,10043
Canada,2012,12,9043
Canada,2013,1,11743
Canada,2013,2,11157
Canada,2013,3,10222
Canada,2013,4,9024
Canada,2013,5,7300
Canada,2013,6,6528
Canada,2013,7,8712
Canada,2013,8,7085
Canada,2013,9,5756
Canada,2013,10,7220
Canada,2013,11,10631
Canada,2013,12,9595
Canada,2014,1,13494
Canada,2014,2,13800
Canada,2014,3,10231
Canada,2014,4,9032
Canada,2014,5,7790
Canada,2014,6,6741
Canada,2014,7,7716
Canada,2014,8,6994
Canada,2014,9,5857
Canada,2014,10,5970
Canada,2014,11,8554
Canada,2014,12,9100
Canada,2015,1,11375
Canada,2015,2,13821
Canada,2015,3,10790
Canada,2015,4,8587
Canada,2015,5,7148
Canada,2015,6,6280
Canada,2015,7,7757
Canada,2015,8,6777
Canada,2015,9,5130
Canada,2015,10,7067
Canada,2015,11,10494
Canada,2015,12,9963
Canada,2016,1,13383
Canada,2016,2,14963
Canada,2016,3,12333
Canada,2016,4,10116
Canada,2016,5,8759
Canada,2016,6,6883
Canada,2016,7,8911
Canada,2016,8,7738
Canada,2016,9,6560
Canada,2016,10,8438
Canada,2016,11,13010
Canada,2016,12,11835
Canada,2017,1,15712
Canada,2017,2,17642
Canada,2017,3,13762
Canada,2017,4,12244
Canada,2017,5,10324
Canada,2017,6,8253
Canada,2017,7,9491
Canada,2017,8,8595
Canada,2017,9,6664
Canada,2017,10,9067
Canada,2017,11,13766
Canada,2017,12,12722
Canada,2018,1,16340
Canada,2018,2,19207
Canada,2018,3,15379
Canada,2018,4,14517
Canada,2018,5,11302
Canada,2018,6,8420
Canada,2018,7,9749
Canada,2018,8,9143
Canada,2018,9,7718
Canada,2018,10,10171
Canada,2018,11,14390
Canada,2018,12,13199
Canada,2019,1,17358
Canada,2019,2,19195
Canada,2019,3,17212
Canada,2019,4,14364
Canada,2019,5,12365
Canada,2019,6,8971
Canada,2019,7,10951
Canada,2019,8,9736
Canada,2019,9,8472
Canada,2019,10,10647
Canada,2019,11,16028
Canada,2019,12,13822
Canada,2020,1,19692
Canada,2020,2,16049
Canada,2020,3,6066
Canada,2022,1,132
Canada,2022,2,430
Canada,2022,3,919
Canada,2022,4,1935
Canada,2022,5,2885
Canada,2022,6,2990
Canada,2022,7,3884
Canada,2022,8,5072
Canada,2022,9,5077
Canada,2022,10,7001
Canada,2022,11,10515
Canada,2022,12,10229
Canada,2023,1,13528
Canada,2023,2,16163
Canada,2023,3,14124
Canada,2023,4,12169
Canada,2023,5,10282
Canada,2023,6,7107
Canada,2023,7,7524
Canada,2023,8,8049
Canada,2023,9,7531
Canada,2023,10,10323
Canada,2023,11,14124
Canada,2023,12,12569
Canada,2024,1,14156
Canada,2024,2,18138
Canada,2024,3,17649
Canada,2024,4,15444
Canada,2024,5,11979
Canada,2024,6,7553
Canada,2024,7,6762
Canada,2024,8,8610
Canada,2024,9,8379
Canada,2024,10,12390
Canada,2024,11,17582
Canada,2024,12,13885
Canada,2025,1,18785
Canada,2025,2,21950
Canada,2025,3,19389
Canada,2025,4,14265
Canada,2025,5,11170
Canada,2025,6,7441
Canada,2025,7,10003
Canada,2025,8,9540
Canada,2025,9,8963
Canada,2025,10,13392
Canada,2025,11,20881
Canada,2025,12,17612
Canada,2026,1,23083
Canada,2026,2,26971
Canada,2026,3,24616
Canada,2026,4,20233
Canada,2026,5,14675
Cộng hòa Séc,2026,5,1321
Hoa Kỳ,2008,7,39812
Hoa Kỳ,2008,9,27215
Hoa Kỳ,2008,10,25769
Hoa Kỳ,2008,11,21495
Hoa Kỳ,2008,12,38404
Hoa Kỳ,2009,1,33379
Hoa Kỳ,2009,2,39773
Hoa Kỳ,2009,3,31368
Hoa Kỳ,2009,4,31314
Hoa Kỳ,2009,5,30785
Hoa Kỳ,2009,6,39318
Hoa Kỳ,2009,7,38625
Hoa Kỳ,2009,8,32207
Hoa Kỳ,2009,9,23599
Hoa Kỳ,2009,10,17662
Hoa Kỳ,2009,11,33063
Hoa Kỳ,2009,12,35841
Hoa Kỳ,2010,1,39146
Hoa Kỳ,2010,2,48307
Hoa Kỳ,2010,3,38529
Hoa Kỳ,2010,4,35444
Hoa Kỳ,2010,5,30502
Hoa Kỳ,2010,6,37180
Hoa Kỳ,2010,7,36098
Hoa Kỳ,2010,8,28897
Hoa Kỳ,2010,9,29110
Hoa Kỳ,2010,10,33185
Hoa Kỳ,2010,11,37335
Hoa Kỳ,2010,12,35585
Hoa Kỳ,2011,1,46800
Hoa Kỳ,2011,2,49787
Hoa Kỳ,2011,3,37107
Hoa Kỳ,2011,4,40641
Hoa Kỳ,2011,5,32304
Hoa Kỳ,2011,6,37223
Hoa Kỳ,2011,7,34764
Hoa Kỳ,2011,8,32308
Hoa Kỳ,2011,9,16613
Hoa Kỳ,2011,10,32371
Hoa Kỳ,2011,11,35166
Hoa Kỳ,2011,12,43402
Hoa Kỳ,2012,1,59326
Hoa Kỳ,2012,2,48585
Hoa Kỳ,2012,3,36875
Hoa Kỳ,2012,4,42600
Hoa Kỳ,2012,5,31197
Hoa Kỳ,2012,6,36298
Hoa Kỳ,2012,7,34370
Hoa Kỳ,2012,8,30601
Hoa Kỳ,2012,9,28913
Hoa Kỳ,2012,10,31295
Hoa Kỳ,2012,11,36673
Hoa Kỳ,2012,12,36480
Hoa Kỳ,2013,1,46364
Hoa Kỳ,2013,2,44019
Hoa Kỳ,2013,3,37273
Hoa Kỳ,2013,4,37497
Hoa Kỳ,2013,5,29141
Hoa Kỳ,2013,6,38340
Hoa Kỳ,2013,7,36723
Hoa Kỳ,2013,8,29732
Hoa Kỳ,2013,9,29126
Hoa Kỳ,2013,10,31579
Hoa Kỳ,2013,11,36555
Hoa Kỳ,2013,12,35879
Hoa Kỳ,2014,1,51800
Hoa Kỳ,2014,2,50533
Hoa Kỳ,2014,3,37718
Hoa Kỳ,2014,4,36160
Hoa Kỳ,2014,5,30772
Hoa Kỳ,2014,6,39307
Hoa Kỳ,2014,7,38881
Hoa Kỳ,2014,8,32067
Hoa Kỳ,2014,9,29150
Hoa Kỳ,2014,10,30234
Hoa Kỳ,2014,11,32316
Hoa Kỳ,2014,12,37007
Hoa Kỳ,2015,1,47757
Hoa Kỳ,2015,2,57308
Hoa Kỳ,2015,3,40666
Hoa Kỳ,2015,4,40290
Hoa Kỳ,2015,5,30912
Hoa Kỳ,2015,6,40533
Hoa Kỳ,2015,7,45229
Hoa Kỳ,2015,8,35725
Hoa Kỳ,2015,9,31368
Hoa Kỳ,2015,10,35754
Hoa Kỳ,2015,11,42378
Hoa Kỳ,2015,12,44927
Hoa Kỳ,2016,1,57378
Hoa Kỳ,2016,2,60140
Hoa Kỳ,2016,3,47220
Hoa Kỳ,2016,4,44786
Hoa Kỳ,2016,5,36033
Hoa Kỳ,2016,6,47403
Hoa Kỳ,2016,7,51520
Hoa Kỳ,2016,8,42322
Hoa Kỳ,2016,9,34847
Hoa Kỳ,2016,10,39658
Hoa Kỳ,2016,11,44890
Hoa Kỳ,2016,12,46447
Hoa Kỳ,2017,1,67262
Hoa Kỳ,2017,2,63519
Hoa Kỳ,2017,3,48880
Hoa Kỳ,2017,4,48860
Hoa Kỳ,2017,5,39740
Hoa Kỳ,2017,6,51943
Hoa Kỳ,2017,7,56832
Hoa Kỳ,2017,8,47522
Hoa Kỳ,2017,9,38847
Hoa Kỳ,2017,10,42949
Hoa Kỳ,2017,11,53990
Hoa Kỳ,2017,12,53773
Hoa Kỳ,2018,1,72638
Hoa Kỳ,2018,2,75168
Hoa Kỳ,2018,3,55881
Hoa Kỳ,2018,4,59778
Hoa Kỳ,2018,5,47200
Hoa Kỳ,2018,6,58976
Hoa Kỳ,2018,7,63851
Hoa Kỳ,2018,8,52459
Hoa Kỳ,2018,9,42683
Hoa Kỳ,2018,10,47859
Hoa Kỳ,2018,11,55842
Hoa Kỳ,2018,12,54891
Hoa Kỳ,2019,1,80658
Hoa Kỳ,2019,2,77423
Hoa Kỳ,2019,3,61619
Hoa Kỳ,2019,4,61296
Hoa Kỳ,2019,5,48237
Hoa Kỳ,2019,6,63851
Hoa Kỳ,2019,7,72627
Hoa Kỳ,2019,8,54684
Hoa Kỳ,2019,9,48718
Hoa Kỳ,2019,10,53312
Hoa Kỳ,2019,11,61451
Hoa Kỳ,2019,12,62295
Hoa Kỳ,2020,1,96548
Hoa Kỳ,2020,2,58505
Hoa Kỳ,2020,3,17653
Hoa Kỳ,2022,1,883
Hoa Kỳ,2022,2,2966
Hoa Kỳ,2022,3,6302
Hoa Kỳ,2022,4,12998
Hoa Kỳ,2022,5,17828
Hoa Kỳ,2022,6,27088
Hoa Kỳ,2022,7,34832
Hoa Kỳ,2022,8,36544
Hoa Kỳ,2022,9,37166
Hoa Kỳ,2022,10,41568
Hoa Kỳ,2022,11,47912
Hoa Kỳ,2022,12,52084
Hoa Kỳ,2023,1,77897
Hoa Kỳ,2023,2,69648
Hoa Kỳ,2023,3,59296
Hoa Kỳ,2023,4,56240
Hoa Kỳ,2023,5,43926
Hoa Kỳ,2023,6,66778
Hoa Kỳ,2023,7,71661
Hoa Kỳ,2023,8,57460
Hoa Kỳ,2023,9,45960
Hoa Kỳ,2023,10,50067
Hoa Kỳ,2023,11,59445
Hoa Kỳ,2023,12,58695
Hoa Kỳ,2024,1,75651
Hoa Kỳ,2024,2,80129
Hoa Kỳ,2024,3,76578
Hoa Kỳ,2024,4,69250
Hoa Kỳ,2024,5,48636
Hoa Kỳ,2024,6,64856
Hoa Kỳ,2024,7,62900
Hoa Kỳ,2024,8,51228
Hoa Kỳ,2024,9,49387
Hoa Kỳ,2024,10,58221
Hoa Kỳ,2024,11,69237
Hoa Kỳ,2024,12,73722
Hoa Kỳ,2025,1,92538
Hoa Kỳ,2025,2,87676
Hoa Kỳ,2025,3,78356
Hoa Kỳ,2025,4,64892
Hoa Kỳ,2025,5,51955
Hoa Kỳ,2025,6,73715
Hoa Kỳ,2025,7,72509
Hoa Kỳ,2025,8,51166
Hoa Kỳ,2025,9,49769
Hoa Kỳ,2025,10,62083
Hoa Kỳ,2025,11,81044
Hoa Kỳ,2025,12,83024
Hoa Kỳ,2026,1,103597
Hoa Kỳ,2026,2,105981
Hoa Kỳ,2026,3,92823
Hoa Kỳ,2026,4,82930
Hoa Kỳ,2026,5,60482
Hà Lan,2008,7,4555
Hà Lan,2008,9,2456
Hà Lan,2008,10,2927
Hà Lan,2012,12,3803
Hà Lan,2013,1,4253
Hà Lan,2013,2,3566
Hà Lan,2013,3,3585
Hà Lan,2013,4,3465
Hà Lan,2013,5,3152
Hà Lan,2013,6,2671
Hà Lan,2013,7,6223
Hà Lan,2013,8,5709
Hà Lan,2013,9,2987
Hà Lan,2013,10,3530
Hà Lan,2013,11,4422
Hà Lan,2013,12,3850
Hà Lan,2014,1,4569
Hà Lan,2014,2,4481
Hà Lan,2014,3,3985
Hà Lan,2014,4,4047
Hà Lan,2014,5,3137
Hà Lan,2014,6,2824
Hà Lan,2014,7,5836
Hà Lan,2014,8,6510
Hà Lan,2014,9,3033
Hà Lan,2014,10,3309
Hà Lan,2014,11,4124
Hà Lan,2014,12,3982
Hà Lan,2015,2,4980
Hà Lan,2015,3,3605
Hà Lan,2015,4,3553
Hà Lan,2015,5,3398
Hà Lan,2015,6,2596
Hà Lan,2015,7,6877
Hà Lan,2015,8,6570
Hà Lan,2015,9,3234
Hà Lan,2015,10,4054
Hà Lan,2015,11,5247
Hà Lan,2015,12,4748
Hà Lan,2016,1,5259
Hà Lan,2016,2,4843
Hà Lan,2016,3,4825
Hà Lan,2016,4,4704
Hà Lan,2016,5,4295
Hà Lan,2016,6,3266
Hà Lan,2016,7,7347
Hà Lan,2016,8,9616
Hà Lan,2016,9,4260
Hà Lan,2016,10,4948
Hà Lan,2016,11,6185
Hà Lan,2016,12,5164
Hà Lan,2017,1,6522
Hà Lan,2017,2,6074
Hà Lan,2017,3,5374
Hà Lan,2017,4,5313
Hà Lan,2017,5,4628
Hà Lan,2017,6,3966
Hà Lan,2017,7,8046
Hà Lan,2017,8,10693
Hà Lan,2017,9,4319
Hà Lan,2017,10,5181
Hà Lan,2017,11,6403
Hà Lan,2017,12,5758
Hà Lan,2018,1,7014
Hà Lan,2018,2,6531
Hà Lan,2018,3,6091
Hà Lan,2018,4,5819
Hà Lan,2018,5,5617
Hà Lan,2018,6,4202
Hà Lan,2018,7,8421
Hà Lan,2018,8,11198
Hà Lan,2018,9,4663
Hà Lan,2018,10,5305
Hà Lan,2018,11,6576
Hà Lan,2018,12,5863
Hà Lan,2019,1,6870
Hà Lan,2019,2,7079
Hà Lan,2019,3,6746
Hà Lan,2019,4,6166
Hà Lan,2019,5,5631
Hà Lan,2019,6,4591
Hà Lan,2019,7,8632
Hà Lan,2019,8,11705
Hà Lan,2019,9,5085
Hà Lan,2019,10,5621
Hà Lan,2019,11,7040
Hà Lan,2019,12,5926
Hà Lan,2020,1,7129
Hà Lan,2020,2,6941
Hà Lan,2020,3,4195
Hà Lan,2022,1,103
Hà Lan,2022,2,164
Hà Lan,2022,3,269
Hà Lan,2022,4,936
Hà Lan,2022,5,1671
Hà Lan,2022,6,1877
Hà Lan,2022,7,2712
Hà Lan,2022,8,5063
Hà Lan,2022,9,2801
Hà Lan,2022,10,3428
Hà Lan,2022,11,4257
Hà Lan,2022,12,4207
Hà Lan,2023,1,5156
Hà Lan,2023,2,5359
Hà Lan,2023,3,5347
Hà Lan,2023,4,5330
Hà Lan,2023,5,5007
Hà Lan,2023,6,3656
Hà Lan,2023,7,5286
Hà Lan,2023,8,10728
Hà Lan,2023,9,4427
Hà Lan,2023,10,5391
Hà Lan,2023,11,6776
Hà Lan,2023,12,5594
Hà Lan,2024,1,7017
Hà Lan,2024,2,7117
Hà Lan,2024,3,7844
Hà Lan,2024,4,6596
Hà Lan,2024,5,6245
Hà Lan,2024,6,3821
Hà Lan,2024,7,5743
Hà Lan,2024,8,8564
Hà Lan,2024,9,4730
Hà Lan,2024,10,6026
Hà Lan,2024,11,8040
Hà Lan,2024,12,6300
Hà Lan,2025,1,7595
